Reading,ReadingFurigana,ReadingKana,Occurences,ReadingFrequency,PitchPositions,Definitions

バー,バー,バー,134,1749,1,"bar,tavern,barroom,pub,bar (establishment, counter, etc. where food and drinks are sold),bar (in the high jump or pole vault),crossbar (in soccer, rugby, etc.),(ballet) barre"
調べ,調[しら]べ,しらべ,134,2786,3,"investigation,inspection,examination,tune,note,melody"
すっごい,すっごい,すっごい,133,1162,,"to a great extent,vast (in numbers),amazing (e.g. of strength),great (e.g. of skills),wonderful,terrific,terrible,dreadful"
なんてこと,なんてこと,なんてこと,133,1680,,"my goodness!,good lord!,holy cow!"
オーケー,オーケー,オーケー,133,3981,"1,2,3","fine (without),not needed,unnecessary,all right,OK,okay"
っぱなし,っぱなし,っぱなし,132,2253,,"leaving (on, open, unfinished, etc.),(doing) continuously,constantly,keep ...-ing"
スピリッツ,スピリッツ,スピリッツ,132,40476,2,spirits (distilled beverage)
髪,髪[かみ],かみ,131,1218,2,hair (on the head)
チケット,チケット,チケット,131,4514,"2,1",ticket
１度,１[いち]度[ど],いちど,130,6157,2,"once,one time,on one occasion,temporarily,for a moment,one degree,one tone,one musical interval"
うわ,うわ,うわ,129,537,,"yikes,oops,eep,wow,aargh"
分かんない,分[わ]かんない,わかんない,129,1464,,"not understanding,not knowing"
お酒,お酒[さけ],おさけ,128,2012,,"alcohol,sake"
ことができる,ことができる,ことができる,127,1202,,"to be able (to),to be possible (to)"
フィルム,フィルム,フィルム,125,13063,1,film
お姉ちゃん,お姉[ねえ]ちゃん,おねえちゃん,124,1817,,"lass,young lady,older sister"
ってか,ってか,ってか,122,2686,,"or rather (say),or better (say),or perhaps I should say,or, how should I put it,...,I mean"
急に,急[きゅう]に,きゅうに,120,1016,0,"swiftly,rapidly,quickly,immediately,hastily,hurriedly,suddenly,abruptly,unexpectedly,sharply (of a slope, bend, etc.),steeply"
タクシー,タクシー,タクシー,119,3900,1,taxi
だらけ,だらけ,だらけ,118,1420,,"covered all over with (blood, mud, etc.),full of (e.g. mistakes),riddled with"
お前たち,お前[まえ]たち,おまえたち,117,1426,2,you (plural)
すっげえ,すっげえ,すっげえ,117,4783,2,"incredible,unbelievable,terrific,impressive"
デパート,デパート,デパート,117,10037,2,"department,department store"
リズム,リズム,リズム,115,5945,1,rhythm
いつか,いつか,いつか,115,534,1,"sometime,someday,one day,some time or other,the other day,in due course,in time"
関係ない,関[かん]係[けい]ない,かんけいない,113,855,,"unrelated,irrelevant,unconcerned,unconnected"
ボート,ボート,ボート,113,10074,1,"boat,rowing boat"
他にも,他[ほか]にも,ほかにも,112,2348,,"furthermore,even more"
１日,１[いち]日[にち],いちにち,112,1614,2,"one day,all day (long),the whole day,from morning till night,first day of the month"
のように,のように,のように,109,1757,,"as with,in the same way,like,similar to"
中には,中[なか]には,なかには,109,1984,,"among (them),of (them)"
ストーカー,ストーカー,ストーカー,109,5378,"2,0",stalker
赤,赤[あか],あか,108,2215,1,"red,crimson,scarlet,red-containing colour (e.g. brown, pink, orange),Red (i.e. communist),red light (traffic),red ink (i.e. in finance or proof-reading),(in) the red,complete,total,perfect,obvious,copper,red 5-point card"
