"Reading","ReadingFurigana","ReadingKana","Occurences","ReadingFrequency","PitchPositions","Definitions"
"の","の","の","132783","1","","(at sentence-end, rising tone) indicates question,(at sentence-end) indicates emotional emphasis,(at sentence-end, falling tone) indicates a confident conclusion,substitutes for ""ga"" in subordinate phrases,nominalizes verbs and adjectives,indicates possessive"
"に","に","に","75424","5","1","at (place, time),in,on,during,to (direction, state),toward,into,for (purpose),because of (reason),for,with,by,from,as (i.e. in the role of),per,in,for,a (e.g. ""once a month""),and,in addition to,if,although"
"が","が","が","71895","4","0","indicates the subject of a sentence,indicates possession,but,however,(and) yet,though,although,while,and,used after an introductory remark or explanation,regardless of ...,whether ... (or not),no matter ...,indicates a desire or hope,softens a statement,indicates doubt,indicates scorn"
"は","は","は","69972","2","1","indicates sentence topic,indicates contrast with another option (stated or unstated),adds emphasis"
"を","を","を","66431","3","","indicates direct object of action,indicates subject of causative expression,indicates an area traversed,indicates time (period) over which action takes place,indicates object of desire, like, hate, etc.,indicates point of departure or separation of action"
"よ","よ","よ","31877","11","","yo,hey,hey,hold on,hey,you,hey"
"と","と","と","31462","6","1","if,when,and,with,used for quoting (thoughts, speech, etc.),promoted pawn,indicates a question"
"さん","さん","さん","30481","22","1","politeness marker,Mr.,Mrs.,Miss,Ms.,-san"
"か","か","か","25029","10","0","indicates a question,or,whether or not,some- (e.g. something, someone),hmm,huh,very,-al,-ial,-ic,-ical,-ish,-y,in that way"
"も","も","も","24271","7","1,0","too,also,in addition,as well,(not) either (in a negative sentence),both A and B,A as well as B,neither A nor B (in a negative sentence),even,as much as,as many as,as far as,as long as,no less than,no fewer than,even if,even though,although,in spite of,further,more,again,another,the other"
"から","から","から","22738","12","1","after,since,from (e.g. time, place, numerical quantity),since,from (originator),by,because,since,out of (constituent, part),through (e.g. window, vestibule),expresses sympathy or warning"
"だ","だ","だ","21003","9","","be,is"
"で","で","で","19672","8","1","at,in,at,when,by,with,within,in,and then,so,and,then,let me tell you,don't you know"
"って","って","って","17422","19","","even if,you said,he said,she said,they said,as for ...,as for the term ...,I hear that ...,says that ...,the said ...,said ...,I already told you,you should know by now that,of course,do you seriously think that"
"ね","ね","ね","17369","13","1","right?,isn't it?,doesn't it?,don't you?,don't you think?,hey,say,listen,look,come on,you know,you see,I must say,I should think,will you?,please,so, ...,well, ...,you see, ...,you understand?,I'm not sure if ...,I have my doubts about whether ..."
"んだ","んだ","んだ","15013","20","","the expectation is that ...,the reason is that ...,the fact is that ...,the explanation is that ...,it is that ..."
"こと","こと","こと","14357","14","2","thing,matter,incident,occurrence,event,something serious,trouble,crisis,circumstances,situation,state of affairs,work,business,affair,after an inflectable word, creates a noun phrase indicating something the speaker does not feel close to,nominalizing suffix,pretending to ...,playing make-believe ...,alias,also known as,otherwise known as,or,necessity,need,you should ...,I advise that you ...,it's important to ..."
"な","な","な","13801","18","1","don't,do,hey,listen,look,say,now, ...,well, ...,I tell you!,you know,wow,ooh,right?,isn't it?,doesn't it?,don't you?,don't you think?"
"その","その","その","13168","24","0","um ...,er ...,uh ...,part (as in ""part two""),that,the"
"する","する","する","12958","15","0","to do,to carry out,to perform,to cause to become,to make (into),to turn (into),to serve as,to act as,to work as,to wear (clothes, a facial expression, etc.),to judge as being,to view as being,to think of as,to treat as,to use as,to decide on,to choose,to be sensed (of a smell, noise, etc.),to be (in a state, condition, etc.),to be worth,to cost,to pass (of time),to elapse,to place, or raise, person A to a post or status B,to transform A to B,to make A into B,to exchange A for B,to make use of A for B,to view A as B,to handle A as if it were B,to feel A about B,verbalizing suffix (applies to nouns noted in this dictionary with the part of speech ""vs""),creates a humble verb (after a noun prefixed with ""o"" or ""go""),to be just about to,to be just starting to,to try to,to attempt to"
"この","この","この","12801","26","0","this,last (couple of years, etc.),these,past,this,you (as in ""you liar"")"
"で","で","で","12132","25","1","without doing ..."
"です","です","です","11745","21","1","be,is"
"ん","ん","ん","11744","28","1","yes,yeah,uh huh,huh?,what?,not,'s,of,belonging to,at (place, time),in,on,during"
"て","て","て","11123","16","","even if,you said,he said,she said,they said,as for ...,as for the term ...,I hear that ...,says that ...,the said ...,said ...,I already told you,you should know by now that,of course,do you seriously think that"
"あっ","あっ","あっ","10759","84","1","ah,oh,hey!"
"それ","それ","それ","9603","23","0","you,there,then,that point (in time),that time,that,it"
"あの","あの","あの","9596","43","1","that,those,the"
"ああ","ああ","ああ","9226","67","1","ah!,oh!,alas!,yes,indeed,that is correct,aah,gah,argh,hey!,yo!,uh huh,yeah yeah,right,gotcha"
"んです","んです","んです","9017","59","","the expectation is that ...,the reason is that ...,the fact is that ...,the explanation is that ...,it is that ..."
"君","君[くん]","くん","8825","237","0","Mr,master,boy,Ms,miss,sir,madam"
"私","私[わたし]","わたし","8723","27","0","I,me"
"何","何[なに]","なに","8642","33","0,1","what,you-know-what,that thing,whatsit,whachamacallit,what's-his-name,what's-her-name,penis,(one's) thing,dick,(not) at all,(not) in the slightest,what?,huh?,hey!,come on!,oh, no (it's fine),why (it's nothing),oh (certainly not)"
"あ","あ","あ","8464","50","1","ah,oh,hey!"
"ある","ある","ある","7694","34","1","to be,to exist,to live,to have,to be located,to be equipped with,to happen,to come about"
"でも","でも","でも","7254","38","1","but,however,though,nevertheless,still,yet,even so,also,as well,even,however,no matter how,even if,even though,... or something,either ... or ...,neither ... nor ...,for lack of anything better to do,pseudo-,quack,in-name-only"
"えっ","えっ","えっ","7006","125","1","huh?,what's up?"
"犯人","犯[はん]人[にん]","はんにん","6743","1492","1","offender,criminal,culprit"
"じゃ","じゃ","じゃ","6636","63","0","then,well,so,well then"
"けど","けど","けど","6588","42","1","but,however,although"
"だった","だった","だった","6542","35","","was,were"
"言う","言[い]う","いう","6255","45","0","to say,to utter,to declare,to name,to call,to go (e.g. ""the alarm went ping""),to make a noise"
"じゃない","じゃない","じゃない","6119","46","","is not,am not,are not,isn't it?"
"いる","いる","いる","6004","44","0","to be (of animate objects),to exist,to stay,to be ...-ing,to have been ...-ing"
"なる","なる","なる","5775","40","1","to become,to get,to grow,to turn,to reach,to attain,to result in,to turn out,to end up,to prove (to be),to consist of,to be composed of,to be made up of,to be completed,to be realized,to succeed,to be attained,to be accomplished,to change (into),to turn (into),to transform,to come (to do),to begin (to do),to grow (to do),to come to,to amount to,to add up to,to make,to play (the part of),to act as,to be used for,to be useful for,to serve as,to be promoted,to do ..."
"これ","これ","これ","5755","31","0","this,this one,this person,now,this point (in time),here,used to stress the subject of a sentence,I,me"
"コナン","コナン","コナン","5620","34908","1","Conan"
"そう","そう","そう","5481","36","0,1","in that way,thus,such,so,so?"
"え","え","え","5399","110","1","eh?,what?,oh?,yes,that's correct,strengthens a question, assertion, etc.,hey"
"時","時[とき]","とき","5374","198","2","time,hour,moment,occasion,case,chance,opportunity,season,the times,the age,the day,tense"
"俺","俺[おれ]","おれ","5319","51","0","I,me"
"あなた","あなた","あなた","5283","114","1,2","beyond,across,the other side,the distance"
"ここ","ここ","ここ","5175","48","0","these past ... (e.g. three years),these last ...,here,this place,this point,here,now,the next ... (e.g. few days),these next ..."
"ない","ない","ない","5109","32","1","nonexistent,not being (there),unowned,not had,unpossessed,unique,not,impossible,won't happen,not,to not be,to have not"
"に","に","に","5026","17","1,0","load,baggage,cargo,freight,goods,burden,responsibility"
