Reading,ReadingFurigana,ReadingKana,Occurences,ReadingFrequency,PitchPositions,Definitions

書斎,書[しょ]斎[さい],しょさい,117,12153,0,"study,library,den,home office,reading room"
捜査官,捜[そう]査[さ]官[かん],そうさかん,116,19945,,(police) investigator
潜む,潜[ひそ]む,ひそむ,116,4258,2,"to lurk,to be hidden,to be concealed,to lie dormant,to be latent"
すり替える,すり替[か]える,すりかえる,116,11489,"4,3,0","to switch (secretly),to substitute,to replace,to sidestep (an issue)"
じゃろ,じゃろ,じゃろ,115,8768,,"seems,I think,I guess,right?,don't you agree?"
腕時計,腕[うで]時計[どけい],うでどけい,115,11518,3,"wristwatch,watch"
亀,亀[かめ],かめ,115,9672,1,"turtle crest,turtle mon,tortoise,turtle,heavy drinker"
ご存じ,ご存[ぞん]じ,ごぞんじ,115,1571,2,"(an) acquaintance,knowing,being aware (of)"
シミ,シミ,シミ,114,11688,0,"stain,spot,smudge,blot,smear,blotch,spot (on one's skin, e.g. chloasma, liver spot),blemish,discoloration,freckle"
外部,外[がい]部[ぶ],がいぶ,113,4277,1,"outside (of a group, company, etc.),outside world,outside (e.g. of a building),exterior"
脅す,脅[おど]す,おどす,113,3086,"0,2","to threaten,to menace,to frighten (into doing)"
外国人,外[がい]国[こく]人[じん],がいこくじん,113,6870,4,"foreigner,foreign citizen,foreign national,alien,non-Japanese"
持ち主,持[も]ち主[ぬし],もちぬし,113,2823,2,"owner,proprietor,possessor (e.g. of talent, beauty, etc.)"
ひかる,ひかる,ひかる,112,4648,2,"to shine,to glitter,to be bright"
突き落とす,突[つ]き落[お]とす,つきおとす,112,7143,4,"to thrust down,to push off"
何しろ,何[なに]しろ,なにしろ,111,4877,1,"in any case,at any rate,anyhow,anyway,as you know,for you see,particularly,because,since,for,after all"
寺,寺[てら],てら,111,7698,"2,0",temple (Buddhist)
助け,助[たす]け,たすけ,110,1371,3,"assistance,help,aid,support,reinforcement"
監禁,監[かん]禁[きん],かんきん,109,7217,0,"confinement,imprisonment,incarceration"
魔女,魔[ま]女[じょ],まじょ,109,6012,1,witch
フン,フン,フン,109,2124,2,"feces (esp. animal),excrement,dung"
ついに,ついに,ついに,109,943,1,"finally,in the end,at last,in the end,after all,never (happened)"
忍び込む,忍[しの]び込[こ]む,しのびこむ,109,5599,4,"to creep in,to steal in,to sneak in"
出入り,出[で]入[い]り,でいり,109,3399,"0,2,1","going in and out,entering and exiting,visiting regularly,frequenting,having regular dealings with,income and expenditure,incomings and outgoings,increase and decrease,surplus and deficit,fluctuation,fight,trouble,quarrel,dispute,indentations (e.g. of a coastline)"
運転手,運[うん]転[てん]手[しゅ],うんてんしゅ,108,4655,3,"driver,chauffeur"
ペットボトル,ペットボトル,ペットボトル,108,11265,4,"plastic bottle (made of polyethylene terephthalate),PET bottle"
こる,こる,こる,108,1380,1,"to become stiff (of muscles),to get absorbed in,to develop a passion for,to devote oneself to,to become obsessed with,to get hooked on,to be elaborate,to be intricate,to be exquisite,to be particular about,to pay great attention to"
店員,店[てん]員[いん],てんいん,108,2978,0,"employee (of a store),shop assistant,clerk,salesperson"
札,札[ふだ],ふだ,108,6843,0,"ticket,token,check,receipt,label,tag,sign,card,plate,playing card,charm,talisman,slip of paper posted on shrine pillars by pilgrims"
課,課[か],か,108,4556,1,"counter for lessons and chapters (of a book),section (in an organization),division,department,lesson"
おととい,おととい,おととい,107,7738,4,day before yesterday

脱出,脱[だっ]出[しゅつ],だっしゅつ,107,2835,0,"escape,getting away (from),getting out (of),prolapse,proptosis"
疑い,疑[うたが]い,うたがい,107,2860,0,"doubt,question,uncertainty,skepticism,scepticism,suspicion,distrust"
捜索,捜[そう]索[さく],そうさく,107,3533,0,"search (esp. for someone or something missing),manhunt,legally authorized search of a person, building, etc."

今すぐ,今[いま]すぐ,いますぐ,106,1010,,"at once,immediately,right now"
ミス,ミス,ミス,106,1835,"1,1","mistake,error,blunder"
払う,払[はら]う,はらう,106,977,2,"to pay (e.g. money, bill),to brush off,to wipe away,to clear away,to dust off,to cut off (e.g. branches),to drive away (e.g. one's competitors),to sell off (something unneeded),to dispose of,to pay (e.g. attention),to show (e.g. respect, concern),to make (e.g. effort, sacrifice),to expend,to exert,to move out (of one's own place),to vacate,to sweep (e.g. one's legs),to knock aside,to make a sweeping stroke (in Japanese calligraphy),to reset (an abacus)"
うな重,うな重[じゅう],うなじゅう,106,42702,2,"broiled eel served over rice in a lacquered box,broiled eel and rice served in two separate stacked boxes, with eel in top box and rice in bottom box"
他殺,他[た]殺[さつ],たさつ,106,21180,0,murder
釣る,釣[つ]る,つる,106,3871,0,"to fish,to angle,to catch,to lure in,to tempt,to attract,to entice,to allure"
関係者,関[かん]係[けい]者[しゃ],かんけいしゃ,105,2989,3,"person concerned,people involved (in an event),those concerned,staff"
よろしくお願いします,よろしくお願[ねが]いします,よろしくおねがいします,105,867,,"please remember me,please help me,please treat me well,I look forward to working with you,please do,please take care of"
か月,か月[げつ],かげつ,105,3182,1,counter for months
自首,自[じ]首[しゅ],じしゅ,105,10361,"0,1","surrender (to the authorities),giving oneself up,turning oneself in"
１階,１[いっ]階[かい],いっかい,105,8171,0,"first floor,ground floor,one floor,one storey,one rank"
同じく,同[おな]じく,おなじく,105,2439,2,"in the same way,like,likewise,similarly"
ショック,ショック,ショック,104,1722,1,"(circulatory) shock,crisis (esp. financial),event that rattles the markets,shock (emotional),shock (physical),impact,jolt"
ばっちり,ばっちり,ばっちり,104,5204,3,"enough,sufficiently,thoroughly,completely,perfectly,right on the mark,spot on,bang on"
飛び出す,飛[と]び出[だ]す,とびだす,104,1942,3,"to jump out,to leap out,to fly out,to run out,to rush out,to bolt out,to appear (suddenly),to emerge,to come out,to protrude,to project,to jut out,to stick out,to leave (a company, one's hometown, etc.),to run away (from home),to cut ties with,to start flying"
野中,野[の]中[なか],のなか,104,45541,"1,0",in the middle of a field
装う,装[よそお]う,よそおう,104,4816,"2,0","to dress (oneself in),to attire oneself in,to adorn,to decorate,to pretend,to feign,to affect,to disguise oneself as"
ほれ,ほれ,ほれ,104,2136,1,"look!,see!,here!,there!,hey!"
になると,になると,になると,104,1544,,"when it becomes,when it comes to"
取材,取[しゅ]材[ざい],しゅざい,104,3050,0,"gathering material (for an article, novel, etc.),collecting information,covering (an event, incident, etc.),reporting,interview (for a news story)"
男の子,男[おとこ]の子[こ],おとこのこ,104,1630,3,"boy,son,baby boy,young man"
きれる,きれる,きれる,104,1126,2,"to break,to snap,to be cut,to split,to crack,to be injured,to wear out,to be worn out,to break,to burst,to collapse,to wear off,to stop working,to go dead,to expire (time limit, etc.),to run out,to become due,to run out (of stock, etc.),to be exhausted,to be used up,to be sold out,to be out of,to be broken off (e.g. of a relationship),to break up,to have severed ties,to be cut off,to be disconnected,to cut well,to be sharp,to be sharp-minded,to be keen,to be shrewd,to be quick-witted,to be able,to be short of,to drop under (a certain figure),to beat (e.g. a record time),to dry off,to curve,to veer,to shuffle (cards),to get angry,to snap,to blow one's top,to lose one's temper,to flip,to be able to do completely"
どうしても,どうしても,どうしても,104,829,"4,1","by all means,at any cost,no matter what,at any rate,surely,whether (one is) willing or not,willingly or unwillingly,willy-nilly,on no account,by no means,in the end,in the long run,after all,eventually"
塞ぐ,塞[ふさ]ぐ,ふさぐ,103,4251,0,"to stop up,to close up,to block (up),to plug up,to shut up,to cover (ears, eyes, etc.),to close (eyes, mouth),to stand in the way,to obstruct,to occupy,to fill up,to take up,to perform one's role,to do one's duty,to feel depressed,to be in low spirits,to mope"
身代金,身代金,,103,18214,"0,4",ransom
この世,この世[よ],このよ,103,1254,"0,3","this world,this life,world of the living"
つき,つき,つき,103,2944,0,desk
その場,その場[ば],そのば,103,2075,"0,3","then and there,on the spot,immediately,at once,impromptu,there,the spot,the place,the occasion,the situation"
迷宮,迷[めい]宮[きゅう],めいきゅう,103,9016,0,"labyrinth,maze,mystery,dungeon"
鬼,鬼[おに],おに,103,1945,2,"ogre,demon,oni,spirit of a deceased person,ogre-like person (i.e. fierce, relentless, merciless, etc.),it (in a game of tag, hide-and-seek, etc.),Chinese ""ghost"" constellation (one of the 28 mansions),very,extremely,super-"
ナンバー,ナンバー,ナンバー,103,5021,1,"number,number plate,license plate"
左利き,左[ひだり]利[き]き,ひだりきき,103,22993,"0,3","left-handedness,left-handed person,left-hander,fondness for alcohol,person who is fond of alcohol,drinker"
向ける,向[む]ける,むける,102,1007,0,"to turn (towards),to face,to point,to aim,to direct to,to head to,to go towards,to allot,to allocate,to send,to dispatch (e.g. a person),to aim for,to pursue"
警官,警[けい]官[かん],けいかん,102,5770,0,"police officer,policeman,constable"
祭り,祭[まつ]り,まつり,102,3984,0,"festival,feast,matsuri,harassment by an Internet pitchfork mob,online shaming,flaming,galore (as in ""goals galore""),frenzy,mania"
ソファー,ソファー,ソファー,102,11916,1,"sofa,couch"
お友達,お友[とも]達[だち],おともだち,102,1760,,"friend,child (one does not know),another child,other children"
あとで,あとで,あとで,102,3950,,"later (on),afterwards"
手帳,手[て]帳[ちょう],てちょう,102,8581,0,"certificate,notebook,memo pad,(pocket) diary,identification card"
離れ,離[はな]れ,はなれ,102,6998,1,"detached building,solitary house,room detached from main house"
記事,記[き]事[じ],きじ,101,3030,1,"article,news story,report,account"
とんでもない,とんでもない,とんでもない,101,1329,5,"(it was) no bother at all,not at all,don't mention it,absolutely not!,far from it!,impossible!,preposterous!,what a thing to say!,no way!,unthinkable,unexpected,absurd,outrageous,preposterous,terrible"
着せる,着[き]せる,きせる,101,4227,0,"to put clothes on (someone),to dress,to clothe,to cover,to coat,to plate,to gild,to veneer,to pin (e.g. a crime on someone),to lay (blame),to charge (with an offence),to give (a bad name),to remind someone of (their indebtedness)"
清水,清水[しみず],しみず,101,11637,0,"spring water,clear (pure) water"
行方不明,行方[ゆくえ]不[ふ]明[めい],ゆくえふめい,101,3135,4,"missing (of a person),lost,unaccounted for,whereabouts unknown"
じゃが,じゃが,じゃが,101,9152,1,potato
小僧,小[こ]僧[ぞう],こぞう,101,4333,2,"youngster,boy,kid,brat,young Buddhist monk,young bonze,young shop-boy,errand boy,apprentice"
取り,取[と]り,とり,101,3097,2,"taking,taker,collecting,collector,remover,removal,last performer of the day (usu. the star performer),last performance of the day,active partner (e.g. in judo demonstration),emphatic or formal prefix"
けが,けが,けが,101,2696,2,"injury,wound,mistake,accident,loss"
拭き取る,拭[ふ]き取[と]る,ふきとる,101,18343,3,"to wipe off,to wipe up"
ハハハ,ハハハ,ハハハ,101,978,,ha ha ha (laughter)
やあ,やあ,やあ,101,1382,1,"yo!,hello there!,hi!,wow!,oh!,ah!,yah! (yell)"
おかげ,おかげ,おかげ,100,966,0,"effects,influence,assistance,help,aid,grace (of God),benevolence (of Buddha),blessing"
しゅう,しゅう,しゅう,100,19040,1,"state (of the US, Australia, India, Germany, etc.),province (e.g. of Canada),county (e.g. of the UK),region (e.g. of Italy),canton,oblast,continent,province (of Japan),province (of ancient China),prefecture,department,dear"
お守り,お守[まも]り,おまもり,100,3380,0,"charm,amulet,talisman"
依頼人,依[い]頼[らい]人[にん],いらいにん,100,11879,,"client,requester"
ひと言,ひと言[こと],ひとこと,100,2708,0,"single word,a few words,brief comment"
さすがに,さすがに,さすがに,100,841,0,"as one would expect,naturally,indeed,still,all the same,after all"
管理人,管[かん]理[り]人[にん],かんりにん,100,8831,"0,3","administrator,janitor,manager,concierge,caretaker,superintendent,supervisor,custodian,executor"
殺し,殺[ころ]し,ころし,100,2790,0,"murder,killing,murderer"
聞き込み,聞[き]き込[こ]み,ききこみ,100,9482,0,"getting information (esp. by interviewing witnesses, etc. in a police investigation)"
ちょっ,ちょっ,ちょっ,99,1068,,"hey,hold on,come on"
片づける,片[かた]づける,かたづける,99,2847,4,"to put in order,to tidy up,to clean up,to put away,to clear away,to settle (a matter),to solve,to deal with,to dispose of,to finish,to get through,to complete,to get (something) done,to marry off (one's daughter),to do away with (someone),to bump off,to kill,to eliminate"
見当たる,見[み]当[あ]たる,みあたる,99,3662,"0,3",to be found
お風呂,お風[ふ]呂[ろ],おふろ,99,1821,2,bath
不自然,不[ふ]自[し]然[ぜん],ふしぜん,99,3562,2,"unnatural,artificial,affected,strained"
レシート,レシート,レシート,99,21730,2,"receipt,cash-register slip"
たった今,たった今[いま],たったいま,99,3746,4,"just now,a moment ago,this very minute"
出番,出[で]番[ばん],でばん,99,2456,"2,0","one's turn,one's shift,one's turn on stage,screen time,one's time (to act),one's chance,one's part (to play)"
おもちゃ,おもちゃ,おもちゃ,98,4235,2,"toy,(person or thing treated as a) plaything"
死亡,死[し]亡[ぼう],しぼう,98,4038,0,"death,dying,mortality"
シーン,シーン,シーン,98,3725,1,"scenario,setting,scene,sight"
じゃろう,じゃろう,じゃろう,98,7853,,"seems,I think,I guess,right?,don't you agree?"
事故死,事[じ]故[こ]死[し],じこし,98,16076,2,accidental death
愛する,愛[あい]する,あいする,98,778,3,to love
明子,明子,,98,46951,,"Myōko,Akako,Akiko,Akirako,Akeko,Asako,Sayako,Teruko,Toshiko,Haruko,Hiroko,Mitsuko,Meiko,Meeko"
手分け,手[て]分[わ]け,てわけ,98,5912,3,"division of labour,division of labor,splitting into groups (e.g. to search)"
バック,バック,バック,98,3929,1,"doggy style (sexual position),backhand,backstroke (swimming),refunding,returning (e.g. profits),back (player),reverse (gear),going backwards,reversing,backing up,backing,support,backer,supporter,background,backdrop,back,rear"
口紅,口[くち]紅[べに],くちべに,98,15902,0,lipstick
思い出,思[おも]い出[で],おもいで,98,1332,0,"memories,recollections,reminiscence"
第１,第[だい]１[いち],だいいち,98,2279,1,"first,foremost,number one,most important,best,greatest,most,above all,besides,in any case,to begin with"
倉,倉[くら],くら,98,18847,2,"warehouse,storehouse,cellar,magazine,granary,godown,depository,treasury,elevator"
ペンション,ペンション,ペンション,97,37794,1,pension (Western-style boarding house)
ストラップ,ストラップ,ストラップ,97,17112,3,"strap (on a dress, bra, etc.),strap (for carrying something)"
長,長[なが],なが,97,1173,1,long
絞殺,絞[こう]殺[さつ],こうさつ,97,30392,0,"strangling (to death),strangulation"
ひっ,ひっ,ひっ,97,1660,,goes before a verb to strengthen its meaning or to add emphasis
型,型[かた],かた,97,1961,2,"type,style,model,pattern,mold,mould,model,pattern,template,impression,kata (set sequence of positions and movements in martial arts),style (in kabuki, noh, etc.),form,convention,tradition,(standard) form,formula,usage,(set) size,inches (in sizes of displays, disks, image sensors, etc.),(taxonomical) form"
家政婦,家[か]政[せい]婦[ふ],かせいふ,97,14732,2,"housekeeper,maid"
原稿,原[げん]稿[こう],げんこう,96,5009,0,"manuscript,copy,draft,notes,contribution"
