dictForm,secondary,hasCard
"草臥れる","くたびれる",0
"おっ","おっ",0
"ありがとう","ありがとう",0
"くたびれる","くたびれる",0
"かい","かい",1
"もう","もう",0
"直","ちょく",0
"ううん","ううん",0
"じき","じき",0
"だ","だ",0
"よ","よ",0
"音楽","おんがく",0
"隠れる","かくれる",0
"明るい","あかるい",0
"メイ","めい",0
"かくれる","かくれる",0
"星","ほし",0
"流れ星","ながれぼし",1
"願い事","ねがいごと",0
"戻る","もどる",0
"毎日","まいにち",0
"光","ひかり",0
"手","て",0
"音","おと",0
"夢","ゆめ",0
"会う","あう",0
"泣く","なく",0
"出来る","できる",1
"同じ","おなじ",1
"お早う","おはよう",1
"気","き",0
"体育","たいいく",0
"英語","えいご",0
"朝","あさ",0
"先輩","せんぱい",0
"楽しい","たのしい",0
"学校","がっこう",0
"死ぬ","しぬ",0
"傷","きず",1
"先生","せんせい",0
"今日","きょう",0
"突然","とつぜん",0
"決まる","きまる",0
"本当に","ほんとうに",0
"新しい","あたらしい",0
"そう","そう",0
"歌","うた",0
"初めて","はじめて",0
"如何","いか",1
"する","する",0
"知る","しる",0
"一緒","いっしょ",0
"言う","いう",0
"平和","へいわ",1
"向こう","むこう",1
"年","とし",0
"もっと","もっと",0
"笑う","わらう",0
"手紙","てがみ",0
"俺","おれ",0
"必ず","かならず",0
"開く","ひらく",0
"遅い","おそい",0
"待つ","まつ",0
"昨日","きのう",0
"熱い","あつい",0
"世紀","せいき",1
"全部","ぜんぶ",0
"思う","おもう",0
"寂しい","さびしい",0
"好き","すき",0
"風","かぜ",0
"様","よう",1
"起こる","おこる",0
"所","ところ",1
"元気","げんき",0
"怒る","おこる",0
"誰","だれ",0
"呼ぶ","よぶ",0
"広い","ひろい",0
"多分","たぶん",0
"力","ちから",0
"ただ今","ただいま",1
"靴","くつ",0
"妹","いもうと",0
"子供","こども",0
"名前","なまえ",0
"部屋","へや",0
"書く","かく",0
"趣味","しゅみ",0
"はじめまして","はじめまして",0
"悪い","わるい",0
"違う","ちがう",0
"彼","かれ",0
"頭","あたま",0
"大丈夫","だいじょうぶ",0
"考える","かんがえる",0
"色","いろ",0
"自分","じぶん",0
"怖い","こわい",0
"聴く","きく",0
"大変","たいへん",0
"ため","ため",0
"に","に",1
"確か","たしか",0
"離れる","はなれる",0
"守る","まもる",0
"頂く","いただく",0
"隠す","かくす",0
"滅ぼす","ほろぼす",0
"気持ち","きもち",0
"続ける","つづける",0
"重い","おもい",0
"友達","ともだち",0
"また","また",0
"も","も",0
"が","が",0
"みんな","みんな",0
"胸","むね",0
"の","の",0
"中","なか",0
"を","を",0
"持つ","もつ",0
"いる","いる",0
"か","か",0
"美しい","うつくしい",0
"ここ","ここ",0
"ところ","ところ",1
"この","この",0
"輝き","かがやき",0
"もうすぐ","もうすぐ",0
"入る","はいる",0
"鐘","かね",0
"なら","なら",0
"云","うん",1
"える","える",0
"今","いま",1
"すぐ","すぐ",0
"声","こえ",0
"うなる","うなる",0
"声","ごえ",0
"出会う","であう",0
"息","いき",0
"授業","じゅぎょう",0
"閉まる","しまる",0
"肉食","にくしょく",0
"怪物","かいぶつ",0
"部","ぶ",0
"練習","れんしゅう",0
"生徒","せいと",0
"皮肉","ひにく",0
"皮","かわ",1
"草食","そうしょく",0
"草","くさ",0
"食欲","しょくよく",0
"週間","しゅうかん",0
"部員","ぶいん",0
"会議","かいぎ",0
"議","ぎ",1
"どう","どう",0
"集まる","あつまる",0
"恐ろしい","おそろしい",1
"関わる","かかわる",1
"獲物","えもの",0
"お","お",0
"休む","やすむ",0
"なさる","なさる",0
"減る","へる",0
"受け取る","うけとる",0
"明日","あした",0
"先","さき",0
"優しい","やさしい",0
"許す","ゆるす",0
"嫌う","きらう",0
"伝える","つたえる",0
"美術","びじゅつ",0
"頼み","たのみ",0
"場合","ばあい",0
"手伝う","てつだう",0
"止める","とめる",0
"忠告","ちゅうこく",1
"夕飯","ゆうはん",1
"座る","すわる",0
"来る","くる",0
"裏","うら",1
"危ない","あぶない",0
"どの","どの",0
"口","くち",1
"壊す","こわす",0
"覚える","おぼえる",1
"紙","かみ",0
"最終","さいしゅう",0
"大切","たいせつ",0
"主役","しゅやく",1
"意外","いがい",0
"今夜","こんや",0
"残念","ざんねん",0
"顔","かお",0
"そして","そして",0
"分かる","わかる",0
"起きる","おきる",0
"地球","ちきゅう",0
"生まれる","うまれる",0
"なる","なる",1
"よう","よう",0
"な","な",1
"電話","でんわ",0
"って","って",0
"しょうが","しょうが",0
"ない","ない",1
"のに","のに",0
"おはよう","おはよう",0
"ね","ね",0
"うさぎ","うさぎ",0
"バレー","ばれー",0
"と","と",0
"数学","すうがく",0
"ちゃんと","ちゃんと",0
"予習","よしゅう",0
"やってくる","やってくる",0
"かったるい","かったるい",0
"なあ","なあ",0
"から","から",0
"生活","せいかつ",0
"なんて","なんて",0
"あっ","あっ",0
"ござい","ござい",0
"みちる","みちる",0
"学生","がくせい",0
"車","くるま",0
"人","ひと",0
"じゃ","じゃ",0
"猫","ねこ",0
"犬","いぬ",0
"彼女","かのじょ",0
"壁","かべ",0
"春","はる",0
"隣","となり",0
"取る","とる",0
"緊張","きんちょう",0
"終わる","おわる",0
"奇跡","きせき",1
"涙","なみだ",0
"勝つ","かつ",0
"当たり前","あたりまえ",1
"王様","おうさま",0
"相手","あいて",0
"便所","べんじょ",1
"聞く","きく",0
"始まる","はじまる",0
"急ぐ","いそぐ",0
"強い","つよい",0
"一体","いったい",1
"簡単","かんたん",0
"けど","けど",0
"諦める","あきらめる",0
"試合","しあい",0
"勉強","べんきょう",0
"他","た",0
"無理","むり",0
"投げる","なげる",0
"腕","うで",0
"最後","さいご",0
"全然","ぜんぜん",0
"読む","よむ",0
"本気","ほんき",0
"落ちる","おちる",0
"点","てん",0
"正直","しょうじき",1
"まだ","まだ",0
"難しい","むずかしい",0
"続く","つづく",0
"追う","おう",0
"時間","じかん",0
"厄介","やっかい",1
"弱い","よわい",0
"残る","のこる",0
"は","は",0
"あなた","あなた",0
"私","わたし",0
"動物","どうぶつ",0
"なんか","なんか",0
"ああ","ああ",0
"ワクワク","わくわく",0
"わ","わ",0
"うつ","うつ",0
"これ","これ",0
"くらい","くらい",0
"で","で",0
"せつない","せつない",0
"さっさと","さっさと",0
"教室","きょうしつ",0
"て","て",0
"だっ","だっ",0
"衛","まもる",0
"さん","さん",0
"アメリカ","あめりか",0
"留学","りゅうがく",0
"ホント","ほんと",0
"ちゃう","ちゃう",0
"もの","もの",0
"甘えん坊","あまえんぼう",0
"一生","いっしょう",0
"会える","あえる",0
"わけ","わけ",1
"ある","ある",0
"まい","まい",0
"し","し",0
"友人","ゆうじん",0
"本","ほん",0
"ベッド","べっど",0
"餌","えさ",0
"自転車","じてんしゃ",0
"父","ちち",0
"男","おとこ",0
"ちゃん","ちゃん",0
"アイドル","あいどる",0
"デビュー","でびゅー",0
"ばっか","ばっか",0
"やっと","やっと",0
"ファンクラブ","ふぁんくらぶ",0
"とこ","とこ",0
"カッコ","かっこ",0
"いい","いい",0
"ねえ","ねえ",0
"もうまい","もうまい",0
"踊り","おどり",0
"グッド","ぐっど",0
"ライブ","らいぶ",0
"やる","やる",1
"え","え",0
"えっ","えっ",0
"なんで","なんで",0
"どうして","どうして",0
"その","その",0
"音楽祭","おんがくさい",0
"彼ら","かれら",0
"出る","でる",0
"流れる","ながれる",0
"情報","じょうほう",0
"てん","てん",0
"何","なに",0
"せっかく","せっかく",0
"取り戻す","とりもどす",0
"バラ","ばら",0
"女","おんな",0
"席","せき",0
"カバン","かばん",0
"弁当","べんとう",0
"それ","それ",0
"雑誌","ざっし",0
"牛乳","ぎゅうにゅう",0
"あれ","あれ",0
"だけど","だけど",0
"もう少し","もうすこし",0
"かも","かも",0
"しれる","しれる",0
"あたし","あたし",0
"喜ぶ","よろこぶ",0
"どれ","どれ",1
"メール","めーる",0
"うさ","うさ",0
"いっぱい","いっぱい",0
"見送り","みおくり",0
"帰る","かえる",0
"開ける","ひらける",0
"みる","みる",0
"ちょっと","ちょっと",0
"山","やま",0
"速い","はやい",0
"良い","よい",0
"すごい","すごい",0
"古い","ふるい",0
"可愛い","かわいい",0
"軽い","かるい",0
