dictForm,secondary,hasCard
"大会","たいかい",1
"手前","てまえ",1
"いくら","いくら",1
"見かける","みかける",1
"う","う",1
"いい加減","いいかげん",1
"得る","うる",1
"随分","ずいぶん",1
"勝負","しょうぶ",1
"さえ","さえ",1
"ー","",1
"法","ほう",1
"論","ろん",1
"激","げき",1
"宛","あて",1
"布","ぬの",0
"派","は",1
"映る","うつる",1
"差","さ",1
"氏","し",1
"故","こ",1
"欠","けつ",1
"表","ひょう",1
"巡る","めぐる",1
"市","し",1
"肝","きも",1
"巳","み",1
"末","すえ",1
"田","た",1
"無","む",1
"性","せい",1
"組","くみ",1
"爪","つめ",1
"土","ど",1
"糸","いと",1
"礼","れい",1
"決意","けつい",1
"折れる","おれる",1
"申し訳","もうしわけ",1
"終了","しゅうりょう",1
"手段","しゅだん",1
"だいぶ","だいぶ",0
"マンション","まんしょん",0
"操作","そうさ",1
"景色","けしき",1
"ぶり","ぶり",1
"流れ","ながれ",1
"許可","きょか",0
"要求","ようきゅう",1
"発言","はつげん",1
"上る","のぼる",0
"経験","けいけん",0
"なお","なお",1
"晴れる","はれる",0
"永遠","えいえん",1
"通帳","かよいちょう",1
"値","ね",1
"混乱","こんらん",1
"どく","どく",1
"折る","おる",1
"り","り",1
"独立","どくりつ",0
"渇く","かわく",1
"残業","ざんぎょう",0
"宣伝","せんでん",1
"仮眠","かみん",1
"徹夜","てつや",1
"流行る","はやる",1
"親しい","したしい",1
"知識","ちしき",1
"着陸","ちゃくりく",1
"季節","きせつ",1
"贈り物","おくりもの",1
"真似","まね",1
"澄ます","すます",1
"潜在","せんざい",1
"比較","ひかく",1
"大抵","たいてい",1
"企画","きかく",0
"渋滞","じゅうたい",0
"相応しい","ふさわしい",1
"積む","つむ",1
"余裕","よゆう",0
"受験","じゅけん",1
"育児","いくじ",1
"調整","ちょうせい",0
"目標","もくひょう",0
"依頼","いらい",1
"抵抗","ていこう",1
"恐怖","きょうふ",1
"転校","てんこう",1
"指摘","してき",1
"倉庫","そうこ",1
"誤解","ごかい",1
"達する","たっする",1
"間接","かんせつ",1
"校舎","こうしゃ",1
"執筆","しっぴつ",1
"合宿","がっしゅく",1
"生涯","しょうがい",1
"師匠","ししょう",1
"仮令","たとえ",1
"一言","ひとこと",0
"混雑","こんざつ",1
"どんだけ","どんだけ",1
"深夜","しんや",0
"例外","れいがい",1
"賛成","さんせい",1
"副","ふく",1
"指紋","しもん",1
"絶命","ぜつめい",1
"有力","ゆうりょく",1
"初期","しょき",1
"騎士","きし",1
"個別","こべつ",1
"警備","けいび",1
"下ろす","おろす",1
"移る","うつる",1
"宿す","やどす",1
"何れ","いずれ",1
"孰","",1
"れ","れ",1
"収める","おさめる",1
"従える","したがえる",1
"鈍い","にぶい",1
"頗る","すこぶる",1
"解除","かいじょ",1
"気軽","きがる",1
"破損","はそん",1
"揚げる","あげる",1
"裕福","ゆうふく",1
"割に","わりに",1
"蜜柑","みかん",1
"遮る","さえぎる",1
"説得","せっとく",1
"きる","きる",1
"賞味期限","しょうみきげん",1
"消費期限","しょうひきげん",1
"更新","こうしん",1
"縁","えん",1
"建築","けんちく",1
"世辞","せじ",1
"暫く","しばらく",1
"意識","いしき",1
"流石","さすが",1
"周囲","しゅうい",1
"序で","ついで",1
"直ちに","ただちに",1
"繰り返す","くりかえす",1
"一部","いちぶ",1
"妙","みょう",1
"自ら","みずから",1
"捜す","さがす",1
"証拠","しょうこ",1
"瞳","ひとみ",1
"刺激","しげき",1
"貧乏","びんぼう",1
"既に","すでに",1
"死人","しにん",1
"抱える","かかえる",1
"全身","ぜんしん",1
"厚い","あつい",1
"頼る","たよる",1
"傍","はた",1
"感触","かんしょく",1
"行為","こうい",1
"引っ張る","ひっぱる",0
"学園","がくえん",1
"開始","かいし",1
"最早","もはや",1
"怒り","いかり",1
"額","がく",1
"かつて","かつて",1
"抑える","おさえる",0
"やがて","やがて",1
"担当","たんとう",1
"揺れる","ゆれる",0
"見事","みごと",1
"硬い","かたい",1
"伸びる","のびる",0
"常に","つねに",1
"扱う","あつかう",1
"尚","なお",1
"対応","たいおう",1
"際","さい",1
"不満","ふまん",1
"複雑","ふくざつ",1
"唯一","ゆいいつ",1
"含める","ふくめる",1
"保つ","たもつ",1
"通す","とおす",1
"加える","くわえる",1
"ぐっと","ぐっと",1
"及ぶ","およぶ",1
"苦しむ","くるしむ",1
"訴える","うったえる",1
"関する","かんする",1
"決定","けってい",1
"ぼんやり","ぼんやり",1
"眺める","ながめる",1
"ふっと","ふっと",1
"不図","ふと",1
"譲る","ゆずる",1
"告げる","つげる",1
"背後","はいご",1
"光景","こうけい",1
"鋭い","するどい",1
"口調","くちょう",1
"視界","しかい",1
"数","すう",1
"膝","ひざ",1
"指示","しじ",1
"具体的","ぐたいてき",1
"僅か","わずか",1
"差し出す","さしだす",1
"衝撃","しょうげき",1
"提案","ていあん",0
"夢中","むちゅう",1
"無言","むごん",1
"わり","わり",1
"思考","しこう",1
"張る","はる",1
"穏やか","おだやか",1
"騒ぎ","さわぎ",1
"確信","かくしん",1
"あっさり","あっさり",1
"認識","にんしき",1
"悲鳴","ひめい",1
"組む","くむ",1
"転がる","ころがる",1
"活かす","いかす",1
"自覚","じかく",1
"動揺","どうよう",1
"時点","じてん",1
"精神","せいしん",1
"昼間","ひるま",1
"飽くまで","あくまで",1
"意志","いし",1
"果たす","はたす",1
"名乗る","なのる",1
"漂う","ただよう",1
"発する","はっする",1
"支配","しはい",1
"優秀","ゆうしゅう",1
"先日","せんじつ",1
"承知","しょうち",1
"土地","とち",1
"責める","せめる",1
"整う","ととのう",1
"整える","ととのえる",1
"たっぷり","たっぷり",1
"潰す","つぶす",1
"姿勢","しせい",1
"揃う","そろう",1
"漏れる","もれる",1
"預ける","あづける",1
"出発","しゅっぱつ",0
"宣言","せんげん",1
"絶望","ぜつぼう",1
"育つ","そだつ",1
"まくる","まくる",1
"強引","ごういん",1
"やり方","やりかた",0
"違和感","いわかん",1
"観察","かんさつ",1
"情けない","なさけない",1
"多","た",1
"話者","わしゃ",1
"寄せる","よせる",1
"固まる","かたまる",1
"貫く","つらぬく",1
"たまたま","たまたま",1
"隙間","すきま",1
"翌日","よくじつ",1
"控える","ひかえる",1
"今に","いまに",1
"埋める","うめる",1
"仕掛ける","しかける",1
"美人","びじん",1
"仮に","かりに",1
"奇妙","きみょう",1
"主人","しゅじん",1
"実力","じつりょく",1
"届ける","とどける",1
"巻く","まく",1
"範囲","はんい",1
"顔色","かおいろ",1
"主張","しゅちょう",1
"注ぐ","そそぐ",1
"慎重","しんちょう",1
"持ち上げる","もちあげる",1
"促す","うながす",1
"如何にも","いかにも",1
"純粋","じゅんすい",1
"現状","げんじょう",1
"確保","かくほ",1
"敢えて","あえて",1
"照らす","てらす",1
"囲碁","いご",1
"前者","ぜんしゃ",1
"後者","こうしゃ",1
"突く","つく",1
"次々","つぎつぎ",1
"幸い","さいわい",1
"からかう","からかう",1
"命じる","めいじる",1
"刻む","きざむ",1
"足元","あしもと",1
"あちこち","あちこち",1
"ひたすら","ひたすら",1
"舞台","ぶたい",1
"集団","しゅうだん",1
"施設","しせつ",1
"徐々に","じょじょに",1
"脳","のう",1
"圧倒的","あっとうてき",1
"会場","かいじょう",1
